country,subnational1,initial_area_ha,extent_2010_ha,gain_2010_2020_ha,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,loss_agri_perc,loss_urban_perc,loss_wildfire_perc,avg_tc_loss,extent_2020_ha
India,Puducherry,54733,130,604,0,1,1,1,1,1,6,2,2,1,4,0.57,10.742,0.983,1.818181818,54713
India,Punjab,5022577,5022577,21485,180,78,234,106,98,5,3,0,49,172,258,1.48,13.096,2.017,107.5454545,5021394
India,Rajasthan,34190098,12,12822,2,2,6,0,0,0,0,0,0,0,0,0.79,9.684,1.356,0.909090909,34190088
India,Sikkim,708307,708307,6551,95,316,108,54,47,8,114,142,132,285,303,1.74,11.557,1.768,145.8181818,706703
India,Tamil Nadu,13028087,203889,163913,51,700,984,305,460,482,538,647,814,753,428,0.85,13.932,1.029,560.1818182,13021925
India,Telangana,11471211,11471211,55683,1813,10563,7672,2524,3992,660,1002,654,1273,1657,780,1.62,10.128,2.201,2962.727273,11438621
India,Tripura,1053626,154536,16775,2207,1588,1386,727,1742,1423,1884,6039,2566,4074,4349,0.94,12.809,1.483,2544.090909,1025641
India,Uttar Pradesh,24075139,24075139,122778,787,1331,1612,477,496,207,236,83,164,83,95,1.39,9.911,1.116,506.4545455,24069568
India,Uttarakhand,5380852,758336,39587,398,340,805,146,255,271,412,265,299,344,371,0.68,14.073,2.089,355.0909091,5376946
India,West Bengal,8536526,8536526,132366,2452,1216,2135,1113,2676,1496,2899,2542,1876,2239,2109,1.29,10.597,0.972,2068.454545,8513773
China,Anhui,14030558,1021708,154743,14506,10936,13634,6866,8764,7276,9142,7993,4982,4205,3298,3.274,2.134,4.782,8327.454545,13938956
China,Beijing,1640538,1640538,40405,167,149,131,90,79,10,151,112,68,725,732,4.812,3.672,9.135,219.4545455,1638124
China,Chongqing,8243894,739941,44410,916,777,401,470,451,327,798,903,663,721,652,2.537,1.958,6.34,643.5454545,8236815
China,Fujian,12212106,12212106,107806,63757,108220,58806,45653,70536,63702,96780,98938,78640,69677,54821,3.998,2.849,3.926,73593.63636,11402576
China,Gansu,40517546,105351,86432,330,197,845,27,39,1,221,12,50,19,13,4.156,3.12,10.287,159.4545455,40515792
China,Guangdong,17783103,17783103,247582,80856,102565,104164,123852,157562,156313,217230,161745,149681,116412,88568,2.103,2.437,5.813,132631.6364,16324155
China,Guangxi,23655762,2917707,393880,102787,95830,82818,44012,48022,45282,69704,59381,58365,41537,40422,3.689,1.99,8.041,62560,22967602
China,Guizhou,17597951,17597951,252154,31548,17527,15840,29143,24533,19387,33457,53722,43767,30260,24329,4.701,3.995,3.657,29410.27273,17274438
China,Hainan,3406133,898602,114918,10891,13589,12862,5688,8419,8199,13797,13613,11753,9391,8230,2.965,2.765,9.829,10584.72727,3289701
China,Hebei,18758151,18758151,308691,2383,2640,4003,1086,1401,878,2863,2770,1385,8366,6590,3.432,3.388,6.913,3124.090909,18723786
China,Heilongjiang,45483298,1977957,570903,22251,8356,10512,3626,2615,843,1650,1375,2034,1495,1112,2.205,2.053,4.127,5079,45427429
China,Henan,16553464,16553464,196528,2001,3043,3866,3752,2192,1432,3168,2838,2272,9193,10479,4.319,3.817,10.45,4021.454545,16509228
China,Hubei,18601662,1629774,130095,2608,5814,4610,1552,1074,945,2019,2097,1091,1553,1686,2.681,2.613,7.234,2277.181818,18576613
China,Hunan,21208248,21208248,133356,51531,42877,65300,53744,36138,49615,65420,56861,60854,42918,41127,4.025,2.921,5.391,51489.54545,20641863
China,Jiangsu,10169875,10926,119513,347,237,120,19,11,20,19,56,58,21,23,3.156,3.042,9.018,84.63636364,10168944
China,Jiangxi,16700205,16700205,104853,51974,56227,77604,70494,82723,90882,124439,111088,94302,79012,63488,2.479,1.984,3.509,82021.18182,15797972
China,Jilin,19100919,607849,255358,1570,1977,862,312,839,454,566,540,412,1220,832,4.893,2.376,10.798,871.2727273,19091335
China,Liaoning,14580901,14580901,279563,3610,8240,5576,2060,6272,5592,10720,12401,8125,21642,11088,3.001,3.758,6.526,8666,14485575
China,Nei Mongol,114648004,115298,206657,3828,974,836,37,43,43,45,104,88,53,63,4.238,2.844,8.912,555.8181818,114641890
China,Ningxia Hui,5185996,5185996,389,8,3,16,7,1,0,0,4,0,39,2,2.835,1.937,4.663,7.272727273,5185916
